Algorithm,Population Size,Items Size,Calculation Time,NumberOfThreads
Sequential,10000,100,10.193842,1
Sequential,10000,110,11.102859834,1
Sequential,10000,120,12.152611292,1
Sequential,10000,130,13.06616,1
Sequential,10000,140,14.058154209,1
Sequential,10000,150,15.276523875,1
Sequential,10000,160,16.044997375,1
Sequential,10000,170,16.919876791,1
Sequential,10000,180,18.147966834,1
Sequential,10000,190,18.819194458,1
